id,session_id,question,correct_answer,user_answer,is_correct,reaction_time_ms,created_at
1,2,Apple,Apple,Apple,1,1200.0,2026-09-04 19:51:56.762710+00:00
2,2,House,House,Car,0,1800.0,2026-09-04 19:51:56.762710+00:00
3,3,Elephant,Elephant,Elephant,1,0.0,2026-09-04 20:03:17.318479+00:00
4,3,Banana,Banana,Banana,1,0.0,2026-09-04 20:03:17.318479+00:00
5,3,Flower,Flower,Flower,1,0.0,2026-09-04 20:03:17.318479+00:00
6,3,Cat,Cat,Cat,1,0.0,2026-09-04 20:03:17.318479+00:00
7,4,Hibiscus,Hibiscus,Hibiscus,1,0.0,2026-09-04 20:06:57.041795+00:00
8,4,Rice,Rice,Rice,1,0.0,2026-09-04 20:06:57.041795+00:00
9,4,House,House,House,1,0.0,2026-09-04 20:06:57.041795+00:00
10,4,Elephant,Elephant,Elephant,1,0.0,2026-09-04 20:06:57.041795+00:00
11,4,Temple,Temple,Temple,1,0.0,2026-09-04 20:06:57.041795+00:00
12,5,Position 1,Yellow,Yellow,1,2240.0,2026-09-04 20:09:46.542050+00:00
13,5,Position 2,Purple,Red,0,2096.0,2026-09-04 20:09:46.542050+00:00
14,5,Position 3,Teal,Blue,0,308.0,2026-09-04 20:09:46.542050+00:00
15,6,Position 1,Pink,Pink,1,1706.0,2026-09-04 20:09:54.655957+00:00
16,6,Position 2,Teal,Blue,0,1253.0,2026-09-04 20:09:54.655957+00:00
17,6,Position 3,Yellow,Green,0,432.0,2026-09-04 20:09:54.655957+00:00
18,7,Position 1,Green,Green,1,1832.0,2026-09-04 20:10:05.299986+00:00
19,7,Position 2,Blue,Blue,1,1624.0,2026-09-04 20:10:05.299986+00:00
20,7,Position 3,Purple,Purple,1,814.0,2026-09-04 20:10:05.299986+00:00
21,8,Position 1,Purple,Purple,1,961.0,2026-09-04 20:10:20.479683+00:00
22,8,Position 2,Red,Orange,0,571.0,2026-09-04 20:10:20.479683+00:00
23,8,Position 3,Orange,Yellow,0,698.0,2026-09-04 20:10:20.479683+00:00
24,9,Position 1,Pink,Pink,1,2697.0,2026-09-04 20:10:32.710878+00:00
25,9,Position 2,Purple,Purple,1,1128.0,2026-09-04 20:10:32.710878+00:00
26,9,Position 3,Orange,Orange,1,412.0,2026-09-04 20:10:32.710878+00:00
27,10,Position 1,Purple,Yellow,0,722.0,2026-09-04 20:11:14.455302+00:00
28,10,Position 2,Green,Purple,0,416.0,2026-09-04 20:11:14.455302+00:00
29,10,Position 3,Blue,Orange,0,348.0,2026-09-04 20:11:14.455302+00:00
30,11,Temple,Temple,Temple,1,1738.0,2026-09-04 20:16:51.120412+00:00
31,11,Temple,Temple,Temple,1,627.0,2026-09-04 20:16:51.120412+00:00
32,11,Temple,Temple,Temple,1,1665.0,2026-09-04 20:16:51.120412+00:00
33,12,Apple,Apple,Apple,1,1444.0,2026-09-04 20:16:59.112645+00:00
34,12,Apple,Apple,Apple,1,588.0,2026-09-04 20:16:59.112645+00:00
35,12,Apple,Apple,Apple,1,1228.0,2026-09-04 20:16:59.112645+00:00
36,12,Apple,Apple,Apple,1,632.0,2026-09-04 20:16:59.112645+00:00
37,13,Car,Car,Car,1,1496.0,2026-09-04 20:17:08.630458+00:00
38,13,Car,Car,Car,1,768.0,2026-09-04 20:17:08.630458+00:00
39,13,Car,Car,Car,1,1009.0,2026-09-04 20:17:08.630458+00:00
40,13,Car,Car,Car,1,1111.0,2026-09-04 20:17:08.630458+00:00
41,13,Car,Car,Car,1,1268.0,2026-09-04 20:17:08.630458+00:00
42,14,Car,Car,Car,1,1242.0,2026-09-04 20:20:20.488640+00:00
43,14,Car,Car,Car,1,1176.0,2026-09-04 20:20:20.488640+00:00
44,14,Car,Car,Car,1,380.0,2026-09-04 20:20:20.488640+00:00
45,14,Cat,Not target,Cat,0,4791.0,2026-09-04 20:20:20.488640+00:00
46,15,Book,Book,Book,1,1699.0,2026-09-04 20:22:57.036992+00:00
47,15,Book,Book,Book,1,332.0,2026-09-04 20:22:57.036992+00:00
48,15,Book,Book,Book,1,392.0,2026-09-04 20:22:57.036992+00:00
49,16,Flower,Flower,Flower,1,1588.0,2026-09-04 20:23:03.689846+00:00
50,16,Flower,Flower,Flower,1,904.0,2026-09-04 20:23:03.689846+00:00
51,16,Flower,Flower,Flower,1,801.0,2026-09-04 20:23:03.689846+00:00
52,16,Tea,Not target,Tea,0,372.0,2026-09-04 20:23:03.689846+00:00
53,17,Car,Car,Car,1,1160.0,2026-09-04 20:23:11.931552+00:00
